1571995996,3,21,3,"CA,CK,C2,CJ;S5,S3,S2,S6;S7,HK,S4,S10;C3,C4,SQ,C9;HJ,C5,SA,C10;D2,D10,D7,D6;D3,DJ,D8,DK;D4,DQ,D9,DA;SJ,H5,S8,SK;H2,CQ,H4,H3;H9,C8,S9,HA;H7,C7,H6,H10;D5,C6,H8,HQ"
1571995996,3,0,3,"C9,CA,C2,SA;S5,S2,S4,S3;S8,S6,S9,S10;D3,DA,D7,D2;SJ,S7,SK,SQ;C5,C3,C10,HA;D6,HJ,D8,D4;DQ,H5,DJ,D5;C6,C4,H10,HK;C7,C8,H9,H8;HQ,CJ,H4,H6;H7,CQ,H3,D10;H2,CK,DK,D9"
1571995996,3,5,3,"C9,C2,CK,C8;S2,S4,SJ,S3;SA,C4,C3,C5;S7,S6,SQ,S5;H7,CJ,C6,C7;D2,D6,D4,D7;D3,D10,D5,DK;S8,S10,HQ,S9;H3,SK,H10,HA;DQ,CQ,C10,HK;DJ,CA,H6,HJ;D9,H2,H5,H8;D8,H4,DA,H9"
1571995996,3,5,3,"C8,CA,C5,C2;S5,S6,S8,S2;S9,S7,S10,S3;SA,HQ,SJ,S4;C7,C3,SQ,C4;D3,D6,D2,D7;HJ,C6,SK,C9;H10,C10,HA,CJ;H9,CQ,HK,CK;D4,DQ,D9,D8;H3,H2,H4,DA;D5,H7,DK,D10;H6,H5,H8,DJ"
1571995996,3,1,3,"C2,CQ,CK,C7;S3,S2,S9,S6;D2,D9,D3,D6;S5,S4,SA,S10;DK,D10,D4,D8;S8,S7,HK,SJ;C4,C9,H10,C3;C6,C10,H9,C5;HQ,H2,H4,H8;C8,HA,H7,SQ;SK,H6,DJ,HJ;CJ,H5,D7,DA;CA,H3,D5,DQ"
1571995996,3,2,3,"C2,CQ,CA,CJ;H10,S2,S4,S3;H5,S6,S5,S7;H3,S9,SQ,S8;D3,D8,D6,D2;D7,D9,SA,D4;DK,D10,SK,D5;DA,DJ,HA,DQ;C3,HK,C4,C10;CK,H6,H2,H4;C8,S10,H8,HQ;C7,SJ,C9,H9;C6,HJ,C5,H7"
1571995996,3,23,3,"CA,C2,CQ,C9;S7,S2,S4,SQ;C3,C5,C7,C8;D7,D6,D5,D2;S10,S3,S6,SK;HJ,SA,D8,D3;H7,HA,D9,D4;H4,HK,D10,DJ;H3,H6,H10,DQ;CJ,H2,H9,DK;C10,CK,H5,DA;C4,C6,S9,H8;SJ,S5,S8,HQ"
1571995996,3,17,3,"CA,C9,C2,CK;S5,S4,S2,S7;S6,SJ,S3,S8;CQ,C3,C10,C6;S9,SQ,S10,SK;D3,D4,D2,D5;D6,D8,DK,D7;HJ,H3,SA,HA;H5,DA,H2,H4;D9,D10,HK,H6;DJ,DQ,HQ,CJ;H10,C4,H8,C7;H9,C5,H7,C8"
1571995996,3,2,3,"CK,C2,CQ,DJ;S4,S7,S2,S3;SJ,S8,S10,S5;C7,C3,C4,HA;C8,C5,C6,HQ;CJ,C10,C9,H9;D3,DA,D2,D4;SA,CA,SQ,H8;D5,DK,D6,D7;H5,H4,H2,D10;D8,HK,H10,D9;SK,HJ,H7,S6;DQ,H6,H3,S9"
1571995996,3,1,3,"C2,CK,C10,CA;CQ,C6,C4,C3;S8,S3,S2,SA;HA,CJ,C5,C7;H8,S5,S4,HQ;H7,S9,S6,HJ;D2,D5,H5,D3;D4,D7,H4,D8;D6,DJ,C9,D9;H2,H10,C8,H3;H6,HK,SJ,H9;DK,SQ,S7,DA;D10,SK,S10,DQ"
