1571997105,3,0,2,"CA,CQ,C2,CK;S2,S6,S5,S3;S10,S9,S7,S4;SJ,HK,H8,S8;C5,C4,C3,C6;DJ,D4,D5,D2;C7,C8,H7,HA;CJ,C9,H6,HJ;D6,DQ,D8,D3;SQ,C10,H5,H4;HQ,H3,DA,H2;SK,H10,DK,D10;SA,H9,D9,D7"
1571997105,3,21,2,"C9,CQ,SA,C2;S3,S9,S2,S4;HA,S10,S5,S6;HK,SJ,S7,SQ;C3,C4,HJ,C8;C6,C5,H7,CK;HQ,C7,H3,CA;D5,D4,D6,D2;DK,D9,D7,D3;H4,SK,H2,H6;H10,DQ,D10,D8;H9,C10,DA,H8;H5,CJ,S8,DJ"
1571997105,3,7,2,"C2,CQ,CA,CK;SA,S2,S5,S3;C4,C3,C6,C9;H6,S7,S8,S4;C5,C8,C10,SQ;C7,SK,CJ,HK;D2,D4,D5,DQ;D3,D10,D6,D9;DA,SJ,HA,S6;DK,H4,H2,H3;DJ,H9,H5,HJ;D8,HQ,H8,S9;D7,H10,H7,S10"
1571997105,3,2,2,"C2,CJ,CA,C8;H10,S3,S2,S4;H9,S8,S5,S6;H7,S10,S7,S9;C6,C5,C4,C3;CK,C10,C7,SQ;D5,D2,D4,D8;D6,D3,SK,D10;D7,D9,HA,DJ;DK,SA,H3,DQ;DA,HQ,H2,HK;H4,H8,CQ,H6;H5,HJ,C9,SJ"
1571997105,3,0,2,"CJ,C10,C2,CK;S4,S5,S3,S2;S8,S7,S9,S6;SJ,SK,S10,SQ;D2,D3,D10,D4;DJ,D6,D7,D5;C9,C3,C5,CQ;DQ,DK,SA,D8;HQ,C4,C8,HA;HJ,C6,CA,H9;H3,H8,H5,H2;H4,C7,HK,H7;DA,H10,H6,D9"
1571997105,3,0,2,"CA,CJ,C9,C2;S6,S3,S2,S4;SJ,S7,SQ,S5;C3,C7,C4,CK;C6,C8,C5,CQ;D2,D4,D6,D5;D3,D8,D7,DQ;HQ,S8,SK,S10;D10,DK,D9,HA;H9,DA,DJ,HJ;H8,S9,SA,H5;H6,HK,H2,H3;H7,C10,H10,H4"
1571997105,3,0,2,"C2,CJ,CK,C9;S5,S7,S4,S2;S9,SJ,S6,S3;C6,C4,C3,H9;C10,C5,CQ,H8;SQ,HK,S10,S8;CA,C7,SA,H6;D2,D8,DJ,D3;D5,D9,DA,D4;HA,H10,SK,H2;H7,H3,H4,DQ;D7,H5,HQ,D6;DK,C8,HJ,D10"
1571997105,3,16,2,"CQ,C2,C10,CA;C4,C6,C3,C7;SA,C8,C5,CJ;HA,C9,H5,CK;D5,D8,D2,D3;S10,S6,S2,SQ;D7,D9,DA,D4;HK,S8,S3,SK;DQ,D10,H4,D6;H7,H8,SJ,H2;HJ,DK,S7,DJ;H10,S9,S4,H6;H9,HQ,S5,H3"
1571997105,3,4,2,"CK,CJ,C2,C9;S7,S2,S4,S8;S9,S3,S6,S10;C3,C8,C6,C4;SK,S5,SJ,SQ;D2,D6,D8,D3;D7,D9,DQ,D4;C5,SA,C10,HJ;C7,HA,CA,H10;H5,H2,H3,H7;DK,DA,HQ,D5;H8,H4,H6,DJ;CQ,HK,H9,D10"
1571997105,3,5,2,"C2,CQ,C10,C9;S2,S3,S4,S6;H9,S5,S8,S9;H8,S7,SK,S10;C7,C4,C6,C3;C8,SQ,HK,C5;D6,D4,D2,DQ;H7,HQ,DK,SJ;H5,HJ,DJ,SA;D7,H4,D9,H2;CA,D10,D3,HA;CK,DA,D5,H10;CJ,H6,D8,H3"
1571997105,3,1,2,"DK,CA,CK,C2;S3,S2,S6,SK;HA,C6,C3,C8;HK,CQ,C4,C10;S4,S5,SJ,SA;D6,D2,DQ,D3;H6,SQ,C5,HQ;D7,D4,DA,D8;H4,DJ,C7,HJ;H3,D10,C9,H8;D9,D5,CJ,H7;S9,S10,H9,H2;S7,S8,H10,H5"
1571997105,3,0,2,"CA,CK,C2,C3;S7,S5,S2,S4;C4,C9,C5,SA;SQ,S6,S3,S8;C6,C10,C7,SK;C8,CJ,HA,H9;HQ,CQ,HK,H7;D2,D5,DQ,D8;D3,D7,DJ,DA;H5,S9,SJ,S10;H2,DK,H8,H3;D6,D10,H10,H4;D4,D9,HJ,H6"
1571997105,3,4,2,"C4,C2,CK,C10;SJ,S2,S3,S7;D3,D4,D5,D2;SQ,S6,S4,S8;DQ,D7,D6,DJ;DK,D10,D8,SK;DA,SA,D9,HK;H3,H2,H4,H6;HA,CJ,C7,C3;HJ,S9,S5,C9;H10,CQ,HQ,C5;H8,CA,H9,C6;H7,H5,S10,C8"
1571997105,3,0,2,"C2,CA,CQ,SK;C8,C3,C5,H8;S6,SQ,S8,S2;D3,D4,DQ,D2;CK,C4,C6,H5;D6,DJ,D5,D7;SA,C7,C9,DK;DA,HA,D9,D8;S7,H10,S9,S3;HQ,H9,D10,SJ;H2,H4,H6,S10;H3,CJ,H7,S5;HJ,C10,HK,S4"
1571997105,3,0,2,"CA,CQ,C2,C8;S4,S2,S7,S3;S5,S9,S8,SA;C7,SQ,C3,C4;CJ,HA,C5,C6;D3,D2,D7,D5;D4,D8,D9,D6;DJ,D10,DQ,DA;H4,H7,H3,H2;SK,DK,H10,HQ;SJ,H8,CK,H5;S10,H9,C10,H6;S6,HK,C9,HJ"
1571997105,3,16,2,"CA,C9,CQ,C2;S2,S6,SJ,S4;CK,C5,C3,C10;S3,S7,SA,S5;HQ,SK,C4,CJ;S9,HK,HA,S8;S10,H10,H5,SQ;D4,D3,D2,D5;DA,D7,D6,D8;D9,D10,H2,HJ;DJ,DQ,C8,H7;H6,H8,C7,H3;DK,H9,C6,H4"
1571997105,3,11,2,"CA,CK,C9,C2;S5,S2,S3,S4;S6,S7,SJ,S8;C7,C6,C3,CJ;SA,S9,H10,S10;C10,SK,C4,C8;CQ,HK,C5,SQ;D2,D5,D3,D9;D4,D8,D6,D10;D7,DJ,DQ,DK;HJ,HQ,H5,DA;H6,H4,H2,H9;H7,H8,H3,HA"
1571997105,3,2,2,"CK,CJ,C2,CA;S8,S2,S7,S3;D7,D2,D6,D3;D9,D4,D8,D5;D10,DQ,DJ,HA;SA,S5,S10,S4;DA,H7,DK,H8;H3,H4,H10,H2;HK,C5,C3,C4;HQ,SJ,SQ,S6;HJ,H5,SK,S9;H9,C7,C6,C9;H6,C10,C8,CQ"
1571997105,3,6,2,"CQ,C2,CK,CA;S3,S5,S2,S9;C10,C3,C4,C5;S7,S6,S4,SK;SA,C8,SQ,C6;D5,D4,DA,D2;DQ,D8,D6,D3;DK,HQ,D7,D10;S8,S10,SJ,H10;HA,H8,D9,DJ;HJ,C9,HK,C7;H5,CJ,H4,H9;H3,H6,H2,H7"
1571997105,3,15,2,"C7,CK,C2,CJ;S4,S2,S8,S3;SA,C3,C5,C4;HQ,C8,C6,C10;S5,S7,SK,S9;H5,C9,CA,HJ;D5,SQ,D2,D6;D7,HA,D3,D8;D10,H8,D4,D9;S6,H7,HK,H10;S10,H4,H6,H9;SJ,H2,DK,DA;H3,CQ,DQ,DJ"
1571997105,3,8,2,"CK,C2,CA,CQ;S7,S3,S2,S6;S9,S5,S4,S8;S10,SQ,SJ,HK;DJ,D3,D5,D2;DK,D9,D6,D4;DA,SA,D7,D8;C4,C7,SK,C3;C5,CJ,HJ,C8;H5,H4,H2,H7;C6,HA,H3,C9;HQ,H10,DQ,C10;H9,H6,D10,H8"
1571997105,3,0,2,"C10,CA,C2,CK;S3,S2,S5,S4;S7,S9,S6,S8;C6,C5,C4,C3;C7,C8,C9,CQ;D4,D5,D8,D2;HK,SK,S10,HQ;HJ,CJ,SQ,H9;D7,DK,DJ,D3;H8,SA,SJ,DQ;H4,H2,H3,D10;H5,H7,H10,D9;H6,HA,DA,D6"
1571997105,3,2,2,"CK,C10,C2,C9;S6,S4,S2,S3;S7,HA,S5,S10;S8,HJ,S9,SJ;CQ,C5,C4,C3;C7,C8,CA,C6;D4,D2,D7,D6;DA,D3,D9,DQ;CJ,H10,SQ,SA;H2,H9,H3,H4;HK,D5,D10,SK;HQ,D8,DJ,H7;H6,DK,H8,H5"
1571997105,3,13,2,"CK,C10,C2,CQ;C3,SQ,C4,C5;HA,S2,S10,S5;C8,HQ,C6,C7;CJ,H9,C9,SA;D2,D3,D4,SK;HK,DK,CA,H10;D8,D5,D6,H6;D10,D7,D9,H5;DJ,S8,DA,H4;H7,S7,H2,SJ;DQ,S4,HJ,S9;H8,S3,H3,S6"
1571997105,3,0,2,"C2,CA,CQ,C4;S4,S2,S6,S3;S7,SJ,S8,S5;C6,C3,C5,SK;S9,H7,SQ,HK;C9,C7,C8,H10;CJ,CK,C10,H9;D9,D2,D7,D4;DQ,D3,DK,D5;SA,D6,DA,D8;H8,H6,H3,H2;S10,DJ,HA,H5;HJ,D10,HQ,H4"
1571997105,3,2,2,"CQ,C2,CK,CA;S10,S7,S2,S5;C3,CJ,C4,C5;SQ,S9,S3,S6;D3,D2,D7,D4;D6,D5,DQ,D9;HK,HQ,S4,SK;DJ,D8,SA,DA;C6,C10,H10,C9;H7,D10,H9,HA;H2,DK,H3,H6;C8,H8,SJ,H4;C7,HJ,S8,H5"
1571997105,3,8,2,"C3,CJ,C2,CA;S2,SQ,S5,S6;H10,C4,C6,C5;D8,D3,D4,D2;DQ,D7,D5,D10;S3,SK,S9,S7;H8,D9,D6,DK;S4,SA,SJ,S8;H7,DJ,CK,HK;H6,DA,CQ,HQ;H2,H3,C10,H4;H5,HA,C7,C8;S10,H9,C9,HJ"
1571997105,3,1,2,"CQ,CK,C2,CA;S5,S10,S8,S2;S7,SJ,SQ,S3;D3,D2,D6,DK;SA,C4,C3,C9;D4,D5,SK,D10;D8,D7,HK,DJ;S9,HJ,H10,S4;D9,H7,H3,HA;DQ,H5,C10,HQ;DA,H2,C8,H9;H6,CJ,C7,H4;H8,C5,C6,S6"
1571997105,3,14,2,"CJ,CQ,C2,CK;S6,S4,S3,S2;S8,S7,S10,S5;C6,C5,C3,C7;D4,D5,D2,D10;D6,DJ,D3,DK;S9,SJ,HQ,SQ;H7,H4,DQ,H2;D8,DA,D7,HA;SK,SA,D9,HK;C8,C9,C4,H9;H8,H6,CA,H3;HJ,H10,C10,H5"
1571997105,3,0,2,"C6,CA,C2,CK;S3,S8,SA,S2;C4,CJ,C3,C8;S4,S10,HQ,S5;SQ,CQ,C5,SK;D4,D3,D8,D2;HA,H8,C7,HK;H10,H7,C9,H9;H6,DK,C10,H3;DA,DJ,H2,DQ;D7,D10,H4,D9;SJ,D6,H5,S9;S7,D5,HJ,S6"
1571997105,3,15,2,"C9,CJ,CA,C2;S3,S2,S5,SQ;C5,C4,C6,C3;C8,SK,C10,C7;HQ,H10,CQ,CK;D6,D8,D2,D3;D7,DQ,D4,D5;S7,S4,S8,SA;DK,H9,D9,D10;S9,S6,H4,HA;H6,H7,H2,H5;HJ,S10,H3,HK;H8,SJ,DA,DJ"
