1571995980,3,6,2,"C2,C9,CA,CK;S4,S2,S5,S8;S6,S3,S10,S9;C6,C3,C4,C10;SQ,C5,CJ,C7;SK,H8,CQ,C8;D2,D4,D3,DJ;D8,D9,D6,D5;HK,DQ,SA,D7;HQ,DK,H10,D10;HJ,DA,H9,HA;SJ,H4,H2,H5;S7,H6,H3,H7"
1571995980,3,2,2,"CA,CQ,CJ,C2;S6,SK,S5,S2;C4,C3,HA,C6;S10,SA,S7,S3;C8,C5,HJ,SQ;C9,C7,H9,HK;CK,C10,H5,H7;D2,D5,D8,D3;D4,HQ,D9,D7;D6,H10,D10,DK;H8,H4,S8,S4;DQ,H3,DJ,H6;DA,H2,S9,SJ"
1571995980,3,0,2,"CA,C2,CK,C6;S4,S3,S8,S2;SK,S5,SJ,S6;C3,C7,C5,SQ;C4,C8,C9,HK;D9,D5,D6,D2;DK,D8,D7,D3;SA,S9,H10,S7;H3,H2,H8,H5;HQ,DA,DJ,D4;H7,S10,CQ,HJ;H4,H9,CJ,DQ;H6,HA,C10,D10"
1571995980,3,10,2,"CJ,C2,CA,CK;S2,S4,S8,S5;SA,D10,D2,D7;S3,S6,HQ,S7;C3,C7,H6,CQ;HK,HA,D3,D9;H10,HJ,D4,DQ;H9,H3,D5,DA;H8,C10,H4,H2;C4,C9,DK,SQ;C8,S9,DJ,SK;C6,SJ,D8,H5;C5,S10,D6,H7"
1571995980,3,6,2,"C9,CA,CJ,C2;S2,S6,S3,S4;S5,SJ,S9,SA;C5,C3,C4,C6;C7,C8,HA,CQ;HJ,C10,H5,CK;D3,D2,D9,D5;S7,SQ,S10,HK;D4,D6,DA,D7;H8,D8,DJ,HQ;H7,D10,DQ,H10;H2,SK,DK,H9;S8,H4,H3,H6"
1571995980,3,1,2,"CJ,C2,CA,C8;S3,S2,S9,S6;C5,C3,C6,SQ;D8,D6,D2,D4;D9,DK,D3,D5;S4,S5,HK,S10;D10,SK,DJ,D7;C7,C4,C10,HA;C9,H10,CQ,H7;SA,H4,CK,H6;HJ,H2,H8,H5;S8,S7,HQ,DA;SJ,H3,H9,DQ"
1571995980,3,12,2,"CA,C7,CQ,C2;S4,S9,S7,S2;S6,SJ,S8,S3;C8,C4,C5,C3;D3,D2,DK,D4;SA,HJ,S10,S5;D5,D7,SQ,D6;HK,C6,C9,CK;DJ,D8,SK,D10;DQ,D9,H7,DA;H6,H3,H2,H9;H8,H4,CJ,H10;HQ,H5,C10,HA"
1571995980,3,16,2,"CK,C8,CJ,C2;S6,S2,S7,S5;HA,S3,S8,S10;C6,C3,C4,C9;CQ,C7,C5,C10;D2,D3,D4,D5;H8,HK,SQ,CA;DA,D8,D6,D7;D9,H10,D10,SA;DJ,H4,DK,SK;H7,S4,S9,H9;H3,H2,HJ,H5;DQ,SJ,HQ,H6"
1571995980,3,9,2,"CK,CQ,CJ,C2;S6,S3,S4,S2;S8,S5,SQ,S7;D7,D2,D3,DQ;HK,S10,HA,S9;C5,C3,C4,C8;H6,SA,HJ,SJ;C6,C7,C9,CA;H5,D8,H10,SK;DA,D6,H2,H7;DK,D5,H3,H8;DJ,D4,H4,H9;D9,C10,D10,HQ"
1571995980,3,0,2,"C8,CQ,C2,CA;S4,S2,S3,S6;S8,S5,S7,SJ;C3,C5,SQ,C4;D2,D4,DA,D3;D5,DJ,D6,HJ;SA,S9,SK,H9;D7,HA,D10,H5;D8,H6,DQ,H2;H10,H3,H4,CK;D9,C10,HK,CJ;DK,C6,H8,C9;HQ,S10,H7,C7"
1571995980,3,1,2,"CQ,C2,CA,C9;C4,HA,C3,C6;S3,S4,H10,S2;S6,S7,H5,S5;S10,S9,H3,S8;C10,HK,C5,C8;CJ,H9,C7,SA;D6,D3,D5,D2;D7,DJ,D8,D4;SQ,SJ,DK,HQ;SK,H7,DQ,H6;H8,H4,D9,H2;HJ,D10,CK,DA"
1571995980,3,1,2,"CJ,C2,CK,CA;S5,S8,S3,S2;S6,S9,S4,S10;S7,SQ,HQ,SJ;DK,D2,D3,D4;DA,D9,D6,D5;C6,C4,C8,C3;C7,C9,C10,C5;HK,SA,CQ,HA;H10,SK,D7,D8;H9,H8,DJ,D10;H5,H7,DQ,H6;H4,H3,HJ,H2"
1571995980,3,21,2,"C10,C2,C9,CK;S4,S6,S2,S5;SA,S7,S3,S10;C3,CA,C5,C8;C4,CQ,C6,CJ;D7,D3,D2,DJ;HK,SK,S8,SJ;D9,D5,D4,DK;HQ,D8,D6,DA;H2,H4,H3,H6;H5,H8,HJ,H7;H9,H10,S9,SQ;C7,DQ,D10,HA"
1571995980,3,1,2,"CK,C2,CA,CJ;S3,S6,S2,S5;S8,S10,S4,SK;C6,C4,C7,C3;S9,HA,S7,HK;SJ,HJ,HQ,H5;D3,D2,D10,D4;SQ,C5,C8,H4;SA,CQ,C9,H2;D8,D5,H9,D6;D9,D7,H8,DJ;H10,DK,H6,DQ;H3,H7,C10,DA"
1571995980,3,0,2,"C7,CA,C2,C8;S3,S2,S6,S8;S4,S5,S9,S10;C4,C5,CQ,C3;S7,SK,SJ,H6;HA,C9,SQ,C6;D3,D5,DK,D2;D6,D9,D10,D4;D8,SA,DJ,D7;H8,H7,H5,H2;DA,CK,HJ,DQ;HQ,CJ,H9,H3;HK,C10,H10,H4"
1571995980,3,4,2,"C2,CQ,CJ,CA;S2,S10,S3,S5;C3,C6,C5,C9;HA,SA,S4,S6;C4,C7,C10,SQ;D3,D5,D2,D4;CK,C8,SK,H9;D10,D8,D6,D7;DQ,D9,DJ,H7;DK,DA,HJ,H5;H3,H4,H10,H2;HK,HQ,S7,S8;H6,H8,S9,SJ"
1571995980,3,9,2,"CQ,C5,CK,C2;S2,S3,S6,S5;S8,S4,S7,S9;C3,C4,C7,C6;C8,SA,C9,CA;D3,D4,DJ,D2;SQ,H7,C10,SK;H9,H5,CJ,HK;H3,DK,H2,H4;D6,D5,HA,D10;D9,D7,HQ,DQ;DA,D8,H6,H10;S10,SJ,H8,HJ"
1571995980,3,25,2,"CJ,CK,C2,CA;S2,S7,S8,S3;S5,S9,SJ,S4;C10,C3,C5,C4;S6,SK,H9,S10;HQ,C6,C7,CQ;D2,D3,D4,D6;DA,DJ,D5,D8;H2,H3,H8,HA;H10,HK,D7,D10;H7,HJ,D9,DK;H6,H4,DQ,SQ;H5,C8,C9,SA"
