1571999021,2,26,1,"CK,CJ,CA,C2;C10,C4,C3,C5;S6,S4,HK,S2;SJ,S8,HQ,S3;CQ,C6,C7,C8;SK,S9,H10,S5;SQ,S10,H2,S7;H5,H3,DK,H4;H7,H6,D7,DA;H8,SA,D4,DQ;H9,DJ,D3,D10;HJ,D6,D2,D9;HA,D5,C9,D8"
1571999021,2,2,1,"CQ,C2,CA,CJ;S5,S3,S9,S2;S6,S4,S10,SQ;D4,D6,D2,D3;D5,D10,D8,D7;HJ,DQ,DJ,D9;H3,DA,DK,SK;C5,C3,SA,C4;S7,H9,SJ,HA;H2,H5,H4,HK;C9,C8,HQ,C6;S8,H6,H10,H7;C10,CK,H8,C7"
1571999021,2,13,1,"C2,C9,CQ,CA;S3,SJ,S2,S4;C8,C4,C6,C3;S8,SQ,S6,S5;D4,D2,D7,D3;H9,HK,S7,H2;H8,HJ,S9,DQ;H7,H10,S10,D10;H3,H6,SK,D8;DA,H4,SA,D5;DK,D6,H5,CK;DJ,C7,HQ,CJ;D9,C5,HA,C10"
1571999021,2,13,1,"CA,C2,C7,CK;S3,S5,S4,S2;S7,S6,SQ,S10;C6,C3,C4,C5;D3,D2,D7,D4;DQ,D9,D8,D5;DK,DJ,SA,D6;S8,SK,HK,H6;HQ,C8,HJ,C9;H9,HA,H8,D10;H5,H10,H4,DA;SJ,CQ,H3,C10;S9,H7,H2,CJ"
1571999021,2,0,1,"CQ,CA,C8,C2;S4,S2,S5,S3;S6,S10,S7,SJ;D7,D8,D3,D2;C3,C4,C7,SA;S9,SK,S8,HA;C5,C9,SQ,H9;D10,DK,D6,D4;C6,CJ,HK,H8;C10,CK,HJ,H4;H5,H3,H2,DJ;DA,HQ,DQ,D5;H7,H10,H6,D9"
1571999021,2,0,1,"CQ,C2,CA,CK;S2,S3,S6,S5;C3,SQ,C5,C6;C4,SK,C7,CJ;D3,D5,D7,D2;S7,S4,SA,SJ;C9,H4,C8,HQ;D8,D6,HK,D4;D9,DQ,HJ,DJ;D10,DK,H9,H10;HA,DA,H8,H7;S10,S8,H6,H3;H5,S9,C10,H2"
1571999021,2,3,1,"CA,C9,CQ,C2;S4,S2,S7,HK;S5,S3,S8,HQ;C7,SA,C3,C4;SJ,S6,HA,H5;C10,H2,H10,C5;CK,DA,H9,C6;D2,D3,D5,D7;SQ,DQ,H8,C8;D4,D6,DJ,D9;D10,D8,DK,H4;HJ,S10,H6,H3;SK,S9,H7,CJ"
1571999021,2,1,1,"CA,CJ,C2,CQ;S3,S2,HK,S5;S4,S9,H8,S6;SA,C3,C7,C4;H10,C6,CK,C5;D2,D9,D5,D7;H7,C8,H6,C10;D3,SQ,D6,D8;D4,HA,D10,DQ;S7,HQ,H2,SK;SJ,H5,DA,H3;S10,C9,DK,H9;S8,HJ,DJ,H4"
1571999021,2,0,1,"CQ,CK,CJ,C2;SQ,S4,S3,S2;D2,DK,D3,D6;C3,C4,C5,C10;C6,SA,C7,CA;HA,D7,D4,D8;HQ,D9,D5,DA;HJ,S5,HK,S7;H8,S6,H10,S9;H7,S8,H9,S10;H3,H6,H5,SJ;C9,H2,DQ,SK;C8,DJ,D10,H4"
1571999021,2,16,1,"C2,CQ,CJ,CA;S4,S8,S2,S3;S6,S10,S9,S5;H9,C4,C6,C3;H8,C5,C8,C7;H7,SQ,C10,C9;D8,D7,D2,D4;DQ,D9,D3,DA;S7,HQ,SK,SA;H6,HJ,H4,CK;H2,H10,D10,H3;H5,DJ,D5,HA;SJ,DK,D6,HK"
1571999021,2,13,1,"CA,CQ,C2,C8;S6,S4,S2,S3;S9,S7,SQ,S5;C6,C7,C4,C3;C9,C10,SK,C5;D2,D3,D4,D5;D7,DK,D8,D6;SA,S10,H8,S8;CJ,HK,H7,H10;CK,HJ,H6,DA;H3,H4,H2,DJ;HA,SJ,H5,D10;HQ,H9,DQ,D9"
