1571996535,2,4,2,"C9,CK,CA,C2;S3,S2,S9,S6;C6,CQ,C3,C5;S7,S4,SK,HA;HQ,SQ,C4,C7;HJ,DJ,C8,CJ;D5,D2,DQ,D3;D8,D4,DA,DK;S8,S5,SA,HK;H7,D9,C10,H9;H6,D7,H5,H2;D10,D6,H10,H4;SJ,S10,H8,H3"
1571996535,2,22,2,"CA,C2,CK,CJ;S5,S3,S2,S4;S7,S8,S6,HJ;S10,S9,SQ,H7;SK,C6,C5,C3;D2,D3,DA,D4;HA,C8,CQ,C4;D5,D10,D9,D7;HK,SJ,SA,H6;D6,HQ,DJ,DQ;H5,C10,H10,C7;H3,H2,H9,H4;D8,H8,DK,C9"
1571996535,2,1,2,"CA,C2,CQ,CK;S2,H10,S4,S3;S8,H6,S7,S5;S10,H2,S9,S6;SJ,DA,HA,SK;D3,D6,D8,D2;C3,C6,CJ,SA;D9,D7,D10,D4;H9,DQ,H3,H7;C4,C7,HK,H8;C5,C8,HJ,DK;SQ,C9,H5,DJ;HQ,C10,H4,D5"
1571996535,2,8,2,"CK,C2,C10,CJ;S6,S3,S2,S5;S10,S4,S8,S7;CQ,C5,C3,C9;D5,D3,D7,D2;SA,C6,C4,H10;HA,C7,C8,H6;HQ,DJ,D8,D4;H8,CA,SQ,DK;H7,DQ,D10,D6;H5,DA,SK,D9;H2,H4,HJ,SJ;H3,H9,HK,S9"
1571996535,2,3,2,"CK,C9,CQ,C2;S6,S7,S3,S2;D7,D3,D2,D4;C3,SA,C6,C7;SK,HK,S10,S4;C4,HQ,C8,CJ;HA,HJ,SJ,S5;D8,D5,D6,H5;C5,H10,SQ,CA;H4,H9,H8,S8;DA,H7,DQ,S9;DK,H6,DJ,H2;C10,D9,D10,H3"
1571996535,2,0,2,"C2,CQ,C5,CA;S3,S4,S2,S8;C4,C6,HQ,C3;S6,S5,S10,SQ;D2,D4,D3,D6;DQ,D5,D9,D7;S9,S7,SJ,SA;SK,DA,D10,D8;C8,C10,H9,C7;H6,H2,H4,HK;C9,H8,H5,CJ;HJ,H7,DK,CK;H10,H3,DJ,HA"
1571996535,2,2,2,"CQ,CA,C2,CJ;S2,S5,S10,S4;C6,C7,C3,C4;S3,S8,HA,S6;D5,D4,DA,D2;C9,SA,C5,C8;S9,H9,HQ,S7;C10,H4,CK,HK;DQ,D6,D7,D3;SK,H3,HJ,SJ;SQ,DK,H5,H7;H8,D10,H2,H6;H10,D8,DJ,D9"
1571996535,2,0,2,"CA,C2,CK,CJ;C6,C4,C5,C3;C9,SQ,C7,C8;C10,H10,SK,HK;CQ,H7,H6,HJ;D4,D2,D6,D5;DQ,D3,D8,D7;DK,DJ,H5,D9;SA,S2,S3,S7;H4,H2,H3,H8;HA,S8,S10,D10;HQ,S6,S9,DA;H9,S4,S5,SJ"
1571996535,2,13,2,"CQ,C2,CA,CJ;S3,S4,S6,S2;C3,SQ,C4,C5;DA,D3,D2,D5;DK,DQ,D4,DJ;S5,S9,SA,S7;C9,SK,CK,C6;HQ,HA,D6,HK;H9,HJ,D7,H7;H8,H10,D8,H2;H6,H5,D9,C8;C10,H4,D10,C7;S8,S10,H3,SJ"
1571996535,2,25,2,"C2,C7,CA,CK;S6,S5,S4,S2;S9,HK,S7,S3;C3,C4,C9,C8;HA,H6,S10,S8;HQ,C5,CJ,C10;D4,D2,D3,DA;HJ,H5,SQ,SJ;D7,D5,D6,SA;DJ,D8,D9,SK;DQ,D10,DK,H9;H3,H4,H7,H2;H8,C6,H10,CQ"
